MSOACD,NaPTANID,Distance
E02001770,9100BRWHINS,4142.55462693
E02001771,9100EBOLDON,4406.62595397
E02001778,9100BRWHINS,2266.10169929
E02001779,9100BRWHINS,1362.36989865
E02005716,9100CRMLNGT,1512.50767077
E02005717,9100CRMLNGT,6188.8496931
E02005714,9100CRMLNGT,1676.35760432
E02005715,9100CRMLNGT,423.404197887
E02005712,9100CRMLNGT,5072.4712824
E02005713,9100CRMLNGT,5979.87669488
E02005710,9100CRMLNGT,6954.27025484
E02005711,9100CRMLNGT,6011.95437896
E02005718,9100CRMLNGT,1798.01731802
E02005719,9100CRMLNGT,4692.83541212
E02001697,9100HEWORTH,2763.45929192
E02001696,9100HEWORTH,1059.70361086
E02001695,9100HEWORTH,1647.12195994
E02001694,9100DNSN,444.422882698
E02001693,9100HEWORTH,1020.2996752
E02001692,9100HEWORTH,1950.87894635
E02001691,9100DNSN,2229.20156668
E02001690,9100GTSHDMC,1398.32519072
E02001699,9100HEWORTH,1653.03340758
E02001698,9100GTSHDMC,2699.7999025
E02001806,9100SNDRLND,993.491271328
E02001807,9100HEWORTH,6616.54427463
E02001804,9100SNDRLND,3963.83971823
E02001805,9100SNDRLND,2339.39122331
E02001802,9100SNDRLND,2856.62486392
E02001803,9100SNDRLND,475.901098554
E02001800,9100HEWORTH,5126.21187515
E02001801,9100SNDRLND,1501.05987701
E02001808,9100SNDRLND,1573.79196515
E02001809,9100CLST,5937.79532103
E02002546,9100STOCTON,580.499939578
E02002547,9100STOCTON,1934.03576844
E02002544,9100STOCTON,1433.72151854
E02002545,9100STOCTON,2853.04798161
E02002542,9100STOCTON,2218.50086508
E02002543,9100STOCTON,2713.56338535
E02002540,9100STOCTON,2753.98466397
E02002541,9100STOCTON,2177.41364082
E02002548,9100STOCTON,1049.090753
E02002549,9100STOCTON,2865.89891104
E02001746,9100BRWHINS,8734.75793479
E02001747,9100BRWHINS,8268.69708372
E02001744,9100CRMLNGT,8202.84675772
